shop_id,shop_name,good_summary,last_updated
20916623,重庆高老九火锅(南京东路店),"肉类不错(271),食材新鲜(138),口味不错(863),食材不错(237),服务热情(699),环境不错(299),海鲜不错(125),性价比较高(125)",2016-01-05 22:26:31
20843382,重庆高老九火锅(打浦桥店),"食材新鲜(134),肉类不错(217),口味不错(695),食材不错(214),服务热情(445),环境不错(227),性价比较高(147),海鲜不错(107)",2016-01-05 22:26:44
20841177,锅德城市火锅(静安晶品店),"食材新鲜(151),食材不错(265),服务热情(372),肉类不错(199),口味不错(370),环境不错(309),海鲜不错(117),牛肉不错(109)",2016-01-05 22:26:52
20780013,焱格格素食料理火锅,"口味不错(244),菌菇不错(75),服务热情(149),食材不错(72),环境不错(135),汤羹煲不错(64),锅底不错(61),点心不错(40)",2016-01-05 22:26:57
20651070,热辣壹号(淮海中路百盛店),"肉类不错(240),口味不错(634),食材新鲜(114),服务热情(533),食材不错(208),环境不错(294),牛肉不错(150),锅底不错(91)",2016-01-05 22:27:00
2014165,海底捞火锅店(吴中路店),"服务热情(3403),肉类不错(554),口味不错(1699),环境不错(969),食材不错(379),海鲜不错(359),主食不错(371),面不错(339),牛肉不错(334)",2016-01-05 22:27:04
19821464,小辉哥火锅(金桥国际店),"食材不错(240),食材新鲜(166),口味不错(465),服务热情(265),肉类不错(176),环境不错(224),牛肉不错(113),海鲜不错(93)",2016-01-05 22:27:13
19651391,蜀公馆成都老火锅(五角场万达店),"肉类不错(189),服务热情(854),食材不错(164),口味不错(660),环境不错(283),性价比较高(157),食材新鲜(82),牛肉不错(95)",2016-01-05 22:27:15
19643403,大队长主题火锅(上海徐汇店),"肉类不错(324),食材新鲜(140),服务热情(1023),食材不错(266),口味不错(908),环境不错(512),牛肉不错(119),性价比较高(109)",2016-01-05 22:27:19
19635046,Mo-Mo牧场(天山牧场),"肉类不错(819),点心不错(374),服务热情(1242),牛肉不错(346),口味不错(731),食材不错(221),环境不错(367),菜品新鲜(113)",2016-01-05 22:27:22
19623998,爽辣重庆潮人火锅(中山公园店),"肉类不错(226),服务热情(769),口味不错(754),食材不错(170),环境不错(252),性价比较高(179),锅底不错(111),海鲜不错(104)",2016-01-05 22:27:25
19612173,哥老官重庆美蛙鱼头(人民广场二哥店),"牛蛙嫩(739),牛蛙不错(2108),肉类不错(435),口味不错(1505),服务热情(1087),海鲜不错(324),环境不错(411),锅底不错(231),汤羹煲不错(203)",2016-01-05 22:27:28
19369909,周渝食惦 酸菜鱼(徐家汇店),"海鲜不错(1513),口味不错(1325),服务热情(676),性价比较高(312),肉类不错(162),环境不错(429),汤羹煲不错(147),份量足(108)",2016-01-05 22:27:32
19357151,这一锅,"食材新鲜(121),食材不错(217),环境不错(449),肉类不错(174),服务热情(370),口味不错(329),海鲜不错(70),牛肉不错(62)",2016-01-05 22:27:35
19348382,高兴一锅 石斑鱼火锅,"海鲜不错(304),食材新鲜(204),食材不错(247),肉类不错(55),口味不错(220),服务热情(204),性价比较高(38),环境不错(42)",2016-01-05 22:27:39
19281854,星米年糕火锅(上海正大广场店),"口味不错(700),服务热情(221),性价比较高(180),点心不错(141),套餐不错(75),海鲜不错(73),环境不错(102),肉类不错(65)",2016-01-05 22:27:44
19146584,百岁•我家酸菜鱼(中环百联梅川店),"海鲜不错(1087),口味不错(1275),性价比较高(293),服务热情(385),环境不错(198),汤羹煲不错(100),份量足(43),点心不错(81)",2016-01-05 22:27:49
19132364,蜀锦川,"食材新鲜(95),肉类不错(154),口味不错(400),食材不错(144),服务热情(267),环境不错(181),牛肉不错(79),锅底不错(55)",2016-01-05 22:27:53
19116091,融诚之  川东大院(大华路店),"食材新鲜(70),口味不错(509),食材不错(125),服务热情(278),性价比较高(136),肉类不错(104),环境不错(237),牛肉不错(64)",2016-01-05 22:27:54
18614598,小辉哥火锅(新世界店),"食材新鲜(187),食材不错(281),口味不错(634),肉类不错(257),服务热情(495),环境不错(287),牛肉不错(159),海鲜不错(115)",2016-01-05 22:27:58
18526259,老十七火锅,"食材新鲜(120),肉类不错(219),服务热情(423),食材不错(190),口味不错(380),环境不错(261),牛肉不错(100),锅底不错(87)",2016-01-05 22:28:01
18526090,八道湾热气羊肉/羊蝎子火锅(三钢里店),"肉类不错(507),羊肉不错(449),口味不错(687),服务热情(470),份量足(70),环境不错(202),性价比较高(74),烧烤不错(70)",2016-01-05 22:28:05
18489851,海底捞火锅店(南京东路店),"食材不错(105),服务热情(649),口味不错(267),肉类不错(80),食材新鲜(54),环境不错(149),海鲜不错(62),锅底不错(50)",2016-01-05 22:28:10
18480600,潮鑫牛肉火锅(双桥路店),"牛肉嫩(88),肉类不错(459),牛肉不错(406),牛肉新鲜(66),口味不错(285),服务热情(63),食材不错(43),性价比较高(47)",2016-01-05 22:28:14
18396978,九牛二炉(中兴店),"肉类不错(817),牛肉不错(645),牛肉嫩(109),牛肉新鲜(105),酱料不错(130),口味不错(600),服务热情(236),汤羹煲不错(104)",2016-01-05 22:28:18
18280273,辛元潮汕牛肉火锅(赤峰路店),"肉类不错(300),牛肉新鲜(64),牛肉不错(222),口味不错(253),食材不错(45),环境不错(127),肉类新鲜(26),服务热情(114)",2016-01-05 22:28:22
18273892,左庭右院鲜牛肉火锅(日月光店),"肉类不错(1376),牛肉不错(1049),牛肉新鲜(250),口味不错(959),服务热情(686),牛肉嫩(173),环境不错(350),酱料不错(206),食材不错(182)",2016-01-05 22:28:24
18259246,蜀九香(延安西路店),"口味不错(594),食材不错(178),食材新鲜(99),环境不错(518),肉类不错(145),服务热情(335),牛肉不错(84),锅底不错(65)",2016-01-05 22:28:29
18204916,嗨锅(梅川路总店),"牛蛙不错(514),肉类不错(285),口味不错(1143),服务热情(569),性价比较高(235),锅底不错(194),食材不错(187),海鲜不错(173)",2016-01-05 22:28:31
18204606,大龙燚火锅(梅川路店),"肉类不错(224),食材新鲜(123),口味不错(583),食材不错(179),服务热情(201),禽肉不错(117),环境不错(141),牛肉不错(100)",2016-01-05 22:28:36
18202207,小辉哥火锅(世博源店),"食材新鲜(264),食材不错(380),口味不错(747),肉类不错(338),环境不错(523),服务热情(452),牛肉不错(218),海鲜不错(143)",2016-01-05 22:28:46
18178278,辣府(金沙江路店),"肉类不错(398),食材新鲜(237),食材不错(370),口味不错(1137),服务热情(632),牛肉不错(230),环境不错(308),禽肉不错(110)",2016-01-05 22:28:48
18175416,煲宫(宛平南路店),"肉类不错(234),汤羹煲不错(187),服务热情(525),猪肉不错(171),口味不错(495),禽肉不错(126),食材不错(81),环境不错(170)",2016-01-05 22:28:51
18101277,酷选Self Cook韩国年糕火锅(虹泉路总店),"点心不错(537),服务热情(1752),性价比较高(577),口味不错(1388),食材不错(261),环境不错(312),面不错(214),主食不错(254)",2016-01-05 22:28:54
18021863,捞王锅物料理(昌里店),"肉类不错(496),猪肉不错(344),服务热情(1368),禽肉不错(266),口味不错(813),汤羹煲不错(263),海鲜不错(191),食材不错(169)",2016-01-05 22:28:56
17889474,Mo-Mo牧场(静安牧场),"肉类不错(897),点心不错(491),服务热情(1244),牛肉不错(415),口味不错(778),食材不错(207),环境不错(411),猪肉不错(151)",2016-01-05 22:29:04
17886206,重庆高老九火锅(徐家汇店),"肉类不错(290),口味不错(853),食材不错(187),服务热情(530),海鲜不错(171),环境不错(264),禽肉不错(139),食材新鲜(110)",2016-01-05 22:29:09
17869659,洞子张老匠火锅(五角场店),"肉类不错(261),口味不错(978),服务热情(506),性价比较高(229),食材新鲜(107),食材不错(185),禽肉不错(116),环境不错(210)",2016-01-05 22:29:12
17803980,蜀韵蜀味火锅(南京东路店),"肉类不错(314),口味不错(924),海鲜不错(265),服务热情(619),环境不错(392),食材不错(203),牛肉不错(187),食材新鲜(128)",2016-01-05 22:29:15
17739815,上井▪轻井泽(合川路店),"食材新鲜(67),食材不错(100),环境不错(238),口味不错(118),海鲜不错(55),服务热情(117),肉类不错(47),牛肉不错(37)",2016-01-05 22:29:20
17685876,重庆高老九火锅(静安寺店),"肉类不错(431),食材不错(327),口味不错(1184),食材新鲜(194),服务热情(760),禽肉不错(216),海鲜不错(205),环境不错(322)",2016-01-05 22:29:23
17679013,上上谦串串香火锅(虹口龙之梦店),"肉类不错(1070),口味不错(2960),食材不错(698),服务热情(1859),牛肉不错(667),食材新鲜(408),环境不错(1381),海鲜不错(545)",2016-01-05 22:29:26
17654577,四川香天下火锅(五角场店),"肉类不错(514),口味不错(1534),食材新鲜(244),服务热情(812),食材不错(386),环境不错(578),禽肉不错(224),饮品不错(192)",2016-01-05 22:29:30
17195312,小辉哥火锅(虹口龙之梦店),"食材不错(427),食材新鲜(284),口味不错(899),肉类不错(386),服务热情(482),环境不错(393),牛肉不错(248),海鲜不错(195)",2016-01-05 22:29:33
17169021,颐和四季轻茶膳体验馆,"环境不错(498),食材不错(116),口味不错(334),肉类不错(109),服务热情(187),饮品不错(108),点心不错(94),环境优雅(68)",2016-01-05 22:29:37
17149436,辣府(徐家汇店),"肉类不错(607),食材不错(427),食材新鲜(292),口味不错(1447),服务热情(678),牛肉不错(344),环境不错(394),禽肉不错(173)",2016-01-05 22:29:42
16982728,煲宫(龙阳店),"汤羹煲不错(203),服务热情(583),肉类不错(200),口味不错(565),猪肉不错(160),禽肉不错(106),环境不错(200),锅底不错(66)",2016-01-05 22:29:45
15965986,小辉哥火锅(大宁国际店),"食材不错(558),食材新鲜(401),口味不错(968),肉类不错(447),服务热情(626),环境不错(459),牛肉不错(291),海鲜不错(232)",2016-01-05 22:29:49
15959175,哥老官重庆美蛙鱼头(日月光大哥店),"牛蛙嫩(765),牛蛙不错(2242),肉类不错(575),口味不错(1774),海鲜不错(432),服务热情(1253),食材不错(239),牛肉不错(236),环境不错(427)",2016-01-05 22:29:54
15919639,四川香天下火锅(长寿路店),"肉类不错(279),口味不错(946),食材新鲜(150),服务热情(604),食材不错(267),环境不错(327),禽肉不错(109),牛肉不错(82)",2016-01-05 22:29:56
15916195,祥盛居老北京四季涮羊肉（清真）(清真),"肉类不错(267),羊肉不错(230),口味不错(252),酱料不错(69),服务热情(173),环境不错(82),羊肉新鲜(28),牛肉不错(36)",2016-01-05 22:30:01
15131931,花开藤蔓重庆火锅(徐家汇店),"环境不错(1500),口味不错(906),食材不错(237),服务热情(466),肉类不错(231),海鲜不错(219),牛肉不错(153),食材新鲜(104)",2016-01-05 22:30:04
15091461,爽辣重庆潮人火锅(新大陆店),"口味不错(806),肉类不错(174),服务热情(637),环境不错(215),性价比较高(161),食材不错(147),海鲜不错(105),食材新鲜(72)",2016-01-05 22:30:07
14908361,泰妃阁(百联西郊店),"口味不错(1287),服务热情(558),肉类不错(293),环境不错(505),海鲜不错(251),性价比较高(291),点心不错(172),牛肉不错(160)",2016-01-05 22:30:12
14904820,上上谦串串香火锅(普陀我格广场店),"肉类不错(377),口味不错(999),服务热情(638),环境不错(394),牛肉不错(248),食材不错(222),食材新鲜(129),海鲜不错(209)",2016-01-05 22:30:15
14151979,好骨气火锅(上南路店),"性价比较高(388),份量足(79),口味不错(580),肉类不错(97),服务热情(220),环境不错(147),锅底不错(77),汤羹煲不错(67)",2016-01-05 22:30:18
13932870,蜀公馆成都老火锅(曲阳店),"肉类不错(106),服务热情(404),食材不错(93),口味不错(321),环境不错(171),性价比较高(70),食材新鲜(45),海鲜不错(52)",2016-01-05 22:30:21
13928532,小贝壳海鲜自助火锅(八佰伴店),"食材不错(532),服务热情(650),性价比较高(539),海鲜不错(523),口味不错(627),食材新鲜(277),环境不错(402),点心不错(134)",2016-01-05 22:30:23
13911846,漂亮石头火锅(月星环球港店),"口味不错(31),服务热情(26),肉类不错(13),套餐不错(9),环境不错(12),性价比较高(9),锅底不错(9),牛肉不错(7)",2016-01-05 22:30:27
13856991,捞王锅物料理(长寿路店),"肉类不错(433),猪肉不错(310),服务热情(990),汤羹煲不错(248),口味不错(621),禽肉不错(200),食材不错(149),海鲜不错(124)",2016-01-05 22:30:33
13721497,四川香天下火锅(虹口店),"肉类不错(597),口味不错(1719),服务热情(1124),食材不错(408),食材新鲜(265),环境不错(517),禽肉不错(266),牛肉不错(195)",2016-01-05 22:30:37
13664519,讲究涮肉馆,"肉类不错(39),环境不错(40),羊肉不错(24),口味不错(31),点心不错(15),服务热情(29),食材不错(10),饮品不错(10)",2016-01-05 22:30:42
11547161,小辉哥火锅(月星环球港店),"食材不错(842),食材新鲜(585),肉类不错(750),口味不错(1663),服务热情(965),牛肉不错(421),环境不错(744),海鲜不错(331)",2016-01-05 22:30:45
10668630,四川香天下火锅(陆家嘴店),"肉类不错(404),口味不错(1215),食材不错(341),食材新鲜(223),服务热情(541),禽肉不错(191),环境不错(306),牛肉不错(134)",2016-01-05 22:30:49
